Company Name,Type,Traded,Traded as,ISIN,Domain,Industry,Founded,Founders,Headquarters,Number of locations,Area served,Products,Services,Revenue,Operating income,Net income,Total assets,Total equity,Key people,Number of employees,Subsidiaries,Divisions,Website
Kingstone Companies,Public,Nasdaq,KINS,,Finance/Insurance,Property & Casualty Insurance,1886,,"Hewlett, New York, United States",,,,,,,,,,Barry Goldstein (CEO),101,,,www.kingstonecompanies.com
Kirkland's,Public,Nasdaq,KIRKS&,,Retail,Retail,1966,,"Brentwood, Tennessee, U.S.",,,,, US$ 634.12 million , US$ 9.53 million , US$ 5.3 million, US$ 299.2 million , US$ 140.76 million ,Steven C. Woodward (CEO),"7,900",,,www.kirklands.com
KLA Corporation,Public,Nasdaq,KLAC,,Software/Hardware,Semiconductors,1997,,"Milpitas, California, United States",,,"Process control systems and solutions that support semiconductor, wafer, reticle and other related industries",, US$ 5.806 †billion  ,, US$ 1.217 billion  , US$ 9.815billion  , US$ 2.681.01billion ,"Edward W. Barnholt, Chairman Richard P. Wallace, CEO and President","10,600",,,kla.com
Kohlberg & Company,Limited liability company,,,,Finance/Insurance,Private equity,1987,,"Mount Kisco, New York, United States",,,"Investments, private equity funds",,,,,,,,,,,www.kohlberg.com
Kona Grill,Public,Nasdaq,KONA,,Hospitality,Restaurant,1998,Michael McDermott,"Scottsdale, Arizona",46 †(2017),,,, US$ 37.4 million ,,US$-22m ,US$108m,,Christi Hing (CEO),,,,konagrill.com
Kornit Digital,Public,(Nasdaq,KRNT),,Media,Printing,2002,,"Rosh HaAyin (global)Englewood, United States (Corporate)",,,Direct to garment printers,, US$ 179.9 †million †, US$ 5.8million, US$ 19.6 million,,,,400,,,kornit.com
Koss Corporation,Public,Nasdaq,KOSS,,Electronics,Electronics,1953,,"Milwaukee, Wisconsin",,Worldwide,,,,,,,,,35,,,koss.com
Kraft Heinz,Public,Nasdaq,KHC,,FMCG,Food processing,"July 2, 2015",,"Chicago, Illinois and Pittsburgh, Pennsylvania, U.S.",,Worldwide,BeveragesConvenience foodsSnack foodsFoodservice,, US$26.12 billion †, US$2.13 billion, US$356 million, US$99.83 billion, US$50.24 billion,Alex Behring (Chairman)John Cahill (Vice chairman)Miguel Patricio (CEO)Paulo Basilio (CFO),"38,757",,Kraft FoodsHeinz,kraftheinzcompany.com
Krispy Kreme,Public,Nasdaq,DNUT,,Hospitality,Restaurant,"July 13, 1937",Vernon Rudolph,"Winston-Salem, North Carolina, United States","1,400 shops",Worldwide,"Baked goods, Soft drinks, Hot beverages, Frozen beverages, Iced beverages",, US$ 518.714 million , US$ 52.098 million , US$ 32.398 million, US$ 342.875 million , US$ 256.140 million ,,"5,200",,,krispykreme.com
Ku6 Media,Public,NASDAQ,KUTV,,Entertainment/Gaming,Services in Entertainment - Diversified,2006,,"Beijing, People Äôs Republic of China",,,Video Entertainment,, US$ 2.35 †million, -US$ 0.83million, -US$ 0.83 million, US$ 8.63million, -US$ 4.9million,"Fang Du  ( Chief Executive Officer and Director) Frank Feng  ( Chief Financial Officer ) Jian Lu Ph.D.  ( Chief Technology Officer )  (Dec 31, 2013)",211,,,www.ku6.com
Kura Sushi,,Nasdaq,KRUS,,Hospitality,Restaurant,,,,451 locations,"Japan, 22 in Taiwan, and 30 in the United States",,,,,,,,,,,,
Lakeland Industries,Public,Nasdaq,LAKE,,Manufacturing,safety garments,1982,,"Decatur, AL, United States",,,,,,,,,,,"1,652",,,www.lakeland.com
Lam Research,Public,Nasdaq,LRCX,,Software/Hardware,Semiconductors,1980,David K. Lam,"Fremont, California, United States",,,Semiconductor manufacturing products,, US$ 9.65 †billion, US$ 2.45billion   US$ 3.15billion  , US$ 2.19 billion   US$ 2.38 billion  , US$ 12.00billion   US$ 12.48billion  , US$ 4.67billion   US$ 6.50billion  ,"Tim Archer, CEO and PresidentStephen G. Newberry, Chairman of the Board","14,100",,,www.lamresearch.com
Lamar Advertising Company,,Nasdaq,LAMRS&,,Advertising,"Real estate investment trust, Advertising",1902,Charles W. Lamar,"Baton Rouge, Louisiana",,,Outdoor Advertising,,$1.57 billion,,,,,"Kevin P. Reilly, Sr.(retired CEO)Kevin Reilly, Jr.(President and Chairman of the Board)Sean Reilly(CEO)","3,300",,,www.lamar.com
Lands' End,Public,Nasdaq,LE,,Retail,Retail,1963,Gary Comer,"Dodgeville, Wisconsin",65 (2018),,"Clothing, luggage, home furnishings",,US$ 1.452 billion , US$42.6 million , US$11.59 million, US$1.111 billion , US$322.7 million ,Jerome Griffith (CEO),"5,000",,,www.landsend.com
Landstar System,Public,Nasdaq,LSTR,,Transportation/Logistics,Transportation,1968,,"Jacksonville, Florida, United States",,Worldwide,DeliveryFreightThird-party logistics,, US$3.65 billion , US$ 243.97 million , US$177.00 million, US$1.35 billion , US$653.88 million ,Diana M. Murphy(Chairman of the Board)James B. Gattoni(President & CEO)L. Kevin Stout(Vice President & CFO),"1,273",,,Landstar.com
Lattice Semiconductor,Public,Nasdaq,LSCCS&,,Software/Hardware,Semiconductors,"1983, public since 1989",,"Hillsboro, Oregon, U.S.45 ∞31 Ä≤38 Ä≥N 122 ∞55 Ä≤36 Ä≥WÔªø / Ôªø45.527216 ∞N 122.926626 ∞WÔªø / 45.527216; -122.926626Coordinates: 45 ∞31 Ä≤38 Ä≥N 122 ∞55 Ä≤36 Ä≥WÔªø / Ôªø45.527216 ∞N 122.926626 ∞WÔªø / 45.527216; -122.926626",,,"FPGAs, CPLDs",, US$404 million ,, US$43.5 million,,,"Jim Anderson, CEO",747,,,latticesemi.com
Laureate Education,Public benefit corporation,Nasdaq,LAUR,,Education,Higher education,1998CEO: Eilif Serck-HanssenCFO: Richard M. Buskirk,Douglas L. Becker,"Baltimore, MD",,,,,"$1,024.9 million †",-$329.3 million,-$618.7 million,,,,,,,www.laureate.net
Leading Brands,Public,Nasdaq,LBIX,,FMCG,Beverage Industry,1986,,"Vancouver, Canada",,,Bottled & Canned Beverage,,,,,,,,,,,www.leadingbrandsinc.com/news.html
Learning Tree International,,,,,Service,Corporate Training,1974,,"Herndon VA, USA",,,,IT & Business Skills Training Courses,,,,,,,,,,https://www.learningtree.com/
Lee Enterprises,Public,Nasdaq,LEE,,Media,Media,1890,A.W. Lee,"Davenport, Iowa",,,Newspapers and television station,, US$566.9 million , US$92.55 million , US$27.48 million, US$620.9 million ,,Mary Junck(Chairman)Kevin Mowbray(President and CEO),"3,597",,,lee.net
LegacyTexas Bank,Public,Nasdaq,LTXBS&,,Banking,Banking,1952,,"Plano, Texas",,,,,$410.4 million ,,,,,"Kevin J. Hanigan, president and chief executive officer",836,,,www.legacytexas.com
LegalZoom,Public,Nasdaq,LZ,,Finance/Insurance,Legal Document Assistant ServicesLegal technology,"March 12, 2001",Brian P. Y. LiuBrian S. LeeEdward R. HartmanRobert Shapiro,"Glendale, California, United States",,United States,,, $200 million,,,,,Jeffrey Stibel (Chairman)Dan Wernikoff (CEO),"1,080",,,legalzoom.com
LendingTree,Public,Nasdaq,TREE,,Retail,Online lending marketplace,1996,,"Charlotte, North Carolina, United States",,,,,"$1,106 million",,,,,,,,,
Leslie's,Public,Nasdaq,LESL,,Retail,Retail,1963,Phil Leslie,"Phoenix, Arizona",930 (2020),,Pool and spa supplies,,,,,,,,,,,www.lesliespool.com
Lexicon Pharmaceuticals,Public,Nasdaq,LXRX,,Biotechnology,Pharmaceutical,"The Woodlands, TX, 1995",,"The Woodlands, United States",,,,, $324.1 Million,,,,,"Lonnel Coats, president and chief executive officer Brian P. Zambrowicz, EVP & Chief Scientific OfficerJeffrey L. Wade, EVP of Corporate Development & Chief Scientific OfficerAlan J. Main, EVP of Pharmaceutical ResearchPablo Lapuerta, EVP of Clinical Development & Chief Medical OfficerJames F. Tessmer, VP of Finance and Accounting",225,,,lexpharma.com
LGI Homes,,Nasdaq,LGIHS&,,Real Estate,Construction,2003 as Lippar Group Inc.,,"The Woodlands, Texas, U.S.",,,,,$1.8 billion ,,,,,"Thomas Lipar, Founder Eric Lipar, CEO Mike Snider, President",1001,,,lgihomes.com
Li Auto,Public,Nasdaq,LI,,Automotive,Automotive,2015,Li Xiang,"Beijing, China",,,,,,,,,,Li Xiang (Chairman and CEO)Yanan Shen (President)Tie Li (CFO),2628,,,www.lixiang.com
Liberty Global,Public,Nasdaq,LBTYB,,Telecom,TelecommunicationsMass media,"2005 in Douglas County, Colorado, U.S.",,"London, EnglandAmsterdam, NetherlandsDenver, Colorado, U.S.",,,Broadband internetCable televisionTelephonyMobileDirect-broadcast satellite,, US$ 11.98 billion , US$ 2.21 billion ,, US$ 59.09 billion , US$ 13.66 billion ,John C. Malone(Chairman)Mike Fries(Vice Chairman and CEO),"23,000",,,www.libertyglobal.com
Liberty Media,Public,Nasdaq,BATRA,US53071M1045,Media,Mass media,1991,John C. Malone,"Douglas County, Colorado, United States",,"United States, Canada, Mexico, United Kingdom, France, Australia, New Zealand",Movie productionTV productionBroadcastingCable televisionSport management,, US$8.040 billion  , US$749 million  , US$ 1.421.0 billion  , US$44.004 billion  , US$19.601 billion  ,John C. Malone (Chairman)Greg Maffei (President & CEO),84,"Formula One Group, Manga Entertainment, Qurate Retail Group, Film Roman, BuyCostumes.com, BirthdayExpress.com, FUN Technologies, MacNeil/Lehrer Productions (former owner of PBS NewsHour)",List of divisions,libertymedia.com
Ligand Pharmaceuticals,Public,Nasdaq,LGNDS&,,Biotechnology,Biopharmaceuticals,Sep-87,Brook Byers,"San Diego, California, U.S.",,,,,US$141 million ,,,,,John Higgins (CEO),155,,,ligand.com
Liminal BioSciences,,Nasdaq,LMNL,,Biotechnology,BiopharmaceuticalPharmaceutical,"October 14, 1994",,"440 Boul. Armand-Frappier Suite 300, Laval, Qu√©bec, Canada",,,,,,,,,,,,,,liminalbiosciences.com
Lincoln Electric,Public,Nasdaq,LECOS&,,Manufacturing,Manufacturing,1895,John C. Lincoln,"Euclid, Ohio",,Worldwide,Arc welding equipmentElectric motors,,US$2.69 billion,US$296 million,US$217 million,US$1.98 billion,US$1.18 billion,Chris Mapes (president and chief executive officer),"10,000",,,lincolnelectric.com
Littelfuse,Public,Nasdaq,LFUSS&,,Electronics,"Electronics, Automotive, Electrical and Silicon",1927,Edward V. Sundt,"Chicago, Illinois, United States",,,"Fuses, Gas discharge tubes, Varistors, Thyristors, ESD suppressors, semiconductors, protection relays, sensors",,US$1.7 billion  ,,US$104.5 million,,,CEO David W. Heinzmann,"12,000",,,https://www.littelfuse.com/
LivaNova,Public,Nasdaq,LIVNS&,GB00BYMT0J19,Healthcare,Medical Devices,1987,,"Legal headquarters: 20 Eastbourne Terrace, LondonOperational headquarters, North America): 100 Cyberonics Blvd Ste 600, Houston, Texas",,,Medical devices for neuromodulation and cardiac surgery,,,,,,,Daniel Moore (Chairman)Damien McDonald (CEO)Alex Shvartsburg  (CFO),,,,www.livanova.com
Live Oak Bank,Public,Nasdaq,LOB,,Banking,Banking,2008,,"Wilmington, North Carolina",,,,,,,, $6.94 billion , $590.4 million,"James S. Mahan III, ChairmanHuntley Garriott, PresidentS. Brett Caines, CFONeil Underwood, President, Live Oak Bancshares",617,,,www.liveoakbank.com
LKQ Corporation,Public,Nasdaq,LKQS&,,Automotive,Auto parts,Feb-98,Donald F. Flynn,"Chicago, Illinois, U.S.",,,,,,,,,,"Dominick P. Zarcone, President and CEO","51,000",Keystone Automotive,,lkqcorp.com
Logitech,Public,SIX,LOGI,,Software/Hardware,Consumer electronicsTechnology,02-Oct-81,Daniel BorelPierluigi ZappacostaGiacomo Marini,"Lausanne, Switzerland",,Worldwide,PeripheralsSoftware,, US$2.79 †billion ,, US$117.5 million, US$2.34billion , US$1.29billion ,Bracken Darrell (CEO)Wendy Becker (Chairman)Nate Olmstead (CFO),"7,000",3DconnexionMirial s.u.r.l.SightSpeedSlim Devices,,www.logitech.com
Loral Space & Communications,Public,Nasdaq,LORL,,Manufacturing,"Communications, Space manufacturing",1996,,"600 Third AvenueNew York City, New York",,,"Communications satellite Manufacturing, Satellite Services",,$882 Million,,,,,"Michael B. Targoff (CEO), Harvey Rein, Senior Vice President/CFO",21,,,www.loral.com
Lordstown Motors,Public,Nasdaq,RIDE,US54405Q1004,Automotive,Automotive,2018,Steve Burns,"Lordstown, Ohio, US",,,,, US$0 ,US$102.481 Million ,US$124.050 million, US$767.219 Million , US$630.738 Million ,Angela Strand (Executive Chair) Daniel Ninivaggi (CEO),,,,lordstownmotors.com
LoveSac,Public,Nasdaq,LOVE,,Retail,Home Furnishings,1995,Shawn David Nelson,"Stamford, Connecticut, US",,,"Sactionals, Sacs, Accessories",,US$ 165.88 million ,US$  7.04 million ,US$  6.7 million,US$ 105 million ,US$ 78.97 million ,Shawn David Nelson (CEO & Director),257,,,www.lovesac.com
LPL Financial,Public,Nasdaq,LPLA,,Finance/Insurance,Financial services,1989,,"San Diego, California, United States",,,,, US$5.9 billion ,,,,,"Dan Arnold (President & CEO)Matt Audette (Managing Director & CFO)Ed Fandrey (Managing Director & Divisional President, Advisor Solutions & National Sales )Sallie Larsen (Managing Director & Chief Human Capital Officer)Michelle Oroschakoff (Managing Director & Chief Legal and Risk Officer)Scott Seese (Managing Director & CIO)Dayton Semerjian (Managing Director & Chief Customer Care Officer)Rich Steinmeier (Managing Director & Divisional President, Business Development)Burt White (Chief Investment Officer & Managing Director, Investor and Investment Solutions)","4,658","LPL Financial LLCLPL Insurance Associates, Inc.Fortigent LLCThe Private Trust Company,",,www.lpl.com
Lucid Motors,Public,Nasdaq,LCID,,Automotive,Automobiles,2007,Bernard Tse Sam Weng,"Newark, California, United States",,,,,,,,,,"Peter Rawlinson(CEO, CTO)Derek Jenkins(VP of Design)Andrew Liveris(Chairman)","2,000",,,lucidmotors.com
Lululemon Athletica,Public,Nasdaq,LULU,,Retail,Retail,1998,Chip Wilson,"Vancouver, British Columbia, Canada",491 (as of February 2020),"North America, Asia, Europe, Oceania",Athletic apparel,, US$4 billion , US$889.1 million , US$645.59 million, US$3.28 billion , US$1.95 billion ,"Calvin McDonald (CEO)(2018 Äì)Glenn Murphy (Chairman)Meghan Frank (Interim Co- CFO)Alex Grieve (Interim Co- CFO)Celeste Burgoyne(EVP, Americas)Sun Choe (CPO)","19,000",,Lululemon Athletica OQOQOIvivva Athletica,shop.lululemon.com
Luna Innovations,Public,Nasdaq,LUNA,,Aerospace,"Aerospace, Automotive, Communications, Defense, Energy, Infrastructure, Security, and Silicon Photonics",1991,,"Roanoke, Virginia, United States",,,"Fiber Optic Sensing (ODiSI), Fiber Optic Test & Measurement Products (OVA, OBR, Tunable Lasers) and Terahertz Test & Measurement (T-Ray, T-Gauge)",,,,,,,"Scott A. Graeff, President & CEO",,,,http://www.lunainc.com
Lyft,Public,Nasdaq,LYFT,,Transportation/Logistics,Vehicle for hire,"June 9, 2012",Logan GreenJohn Zimmer,"San Francisco, California, U.S.",,"United States, Canada",,, US$2.364 billion , US$ 1.808 billion , US$ 1.752 billion , US$4.678 billion , US$1.676 billion ,"Logan Green, CEOJohn Zimmer, PresidentBrian Roberts, CFO",1099917,Motivate,,lyft.com
Magyar Bank,Public,Nasdaq,MGYR,,Finance/Insurance,Finance,1922,,"New Brunswick, New Jersey, United States",,,Financial services,,,,,,,John Fitzgerald (President-CEO),,,,https://www.magbank.com
MakeMyTrip,,Nasdaq,MMYT,,Travel,Online travel,2000,Deep Kalra,"Gurugram, Haryana, India",,Worldwide,"Booking flights, hotels, holidays, buses, trains and cars",, US$486 million,,,,,,3051,,,www.makemytrip.com
Mannatech,Public,Nasdaq,MTEX,,Healthcare,Dietary supplementsPersonal careMulti-level marketing,"November 4, 1993 ",Samuel Caster,"Flower Mound, Texas, US",,,,, US$ 176.696 million , US$ 2.519 thousand , US$ -1.787 million, US$ 76.242 million , US$ 40.241 million ,Alfredo Bala(CEO and President)J. Stanley Fredrick (Chairman),252,,,www.mannatech.com
MannKind Corporation,Public,Nasdaq,MNKD,,Biotechnology,Biotechnology,1991,Alfred E. Mann,"Westlake Village, California, United States",,,,,US$63.038 †million ,  US$44.597million ,  US$51.903 million,$93.725 million ,$284.252 million ,Kent Kresa (Chairman)Dr. Michael E. Castagna (CEO),233,,,mannkindcorp.com
ManTech International,Public,Nasdaq,MANTS&,,Service,"National Security, Defense, Professional Services",1968,Franc WertheimerGeorge J. Pedersen,"Herndon, Virginia",,Worldwide,,, $2.2 billion , $113 million , $82 million, $1.8 billion , $1.4 billion ,"George J. Pedersen(Chairman Emeritus)Kevin M. Phillips(Chairman of the Board, CEO and President)","9,000",,,www.ManTech.com
Marin Software,Public,Nasdaq,MRIN,,Advertising,"SaaS, Online advertising",2006,,"San Francisco, California, United States",,,,,$58.6 million ,,,,,,500,,,
Marriott International,Public,Nasdaq,MAR,,Hospitality,Hospitality industry,"March 5, 1927",J. Willard MarriottAlice Marriott,"Bethesda, Maryland, U.S.","8,484",Worldwide,HotelsResorts,, $10.571 billion ,, -$267 million, $24.701 billion , $430 million ,"Bill Marriott, Executive ChairmanAnthony Capuano, CEOStephanie Linnartz, PresidentKathleen K. Oberg, CFO","1,21,000",Marriott Hotels & ResortsThe Ritz-Carlton Hotel CompanyLe M√©ridienSheraton Hotels and Resorts,,www.marriott.com
"Marvell Technology, Inc.",Public,Nasdaq,MRVL,,Software/Hardware,Semiconductors,1995,"Sehat Sutardja, Weili Dai, and Pantas Sutardja","Santa Clara, California, U.S. (operational)Delaware, U.S. (legal domicile)",,,"Semiconductor device, Application-specific integrated circuit, Integrated circuit, central processing unit, Data processing unit",, US$2.866 billion ,, US$179 million, US$10.02 billion , US$7.31 billion ,"Richard S. Hill, (Chairman)Matthew Murphy (President and CEO)Jean X. Hu (CFO)",5200,,,marvell.com
Masimo,Public,Nasdaq,MASIS&,,Healthcare,Medical TechnologyMedical DevicesMedical Equipment,,Joe E. Kiani,"Irvine, California, United States of America",,Worldwide,,,"US $1,143.7 million  ",,,,,,"6,200",,,www.masimo.com
Mastech Digital,Public,NYSE,MHH,,Software/Hardware,Technology Services,1986,Ashok TrivediSunil Wadhwani,"Pittsburgh, U.S.",11,"United States, Canada, & India",,"Data Management & Analytics, Salesforce, Digital Learning, and IT Staffing", US $177.2 million ,,US $6.69 million,,,"Vivek Gupta, President & CEOJohn Cronin, CFO","1,564",,,www.mastechdigital.com
Match Group,Public,Nasdaq,MTCH,,Software/Hardware,Online dating service,1986,,"Dallas, Texas, U.S.",,,,,US$2.051 billion ,,US$534 million,US$2.423 billion ,US$319 million ,"Joey Levin, ChairmanShar Dubey, CEOGary Swidler, CFO","1,880",,,mtch.com
Materialise NV,Public,Nasdaq,MTLS,,Manufacturing,3D Printing / Additive Manufacturing,1990,Wilfried Vancraen,"Leuven, Belgium",,Worldwide,,, US$196.67 million ,,,,,,2000,,,http://www.materialise.com/
Mattel,Public,Nasdaq,MATS&,,Entertainment/Gaming,Entertainment,Jan-45,Harold MatsonElliot HandlerRuth Handler,"333 Continental Blvd, El Segundo, California, United States",,,DollsVehiclesInfant Toddler Preschool ToysGamesAction FiguresPlushConstructionFilm and TelevisionDigital ContentDigital GamingMusicLive Events,, US$4.58 billion , US$380.9 million , US$126.6 million,,,Ynon Kreiz (Chairman and CEO)Richard Dickson (President and COO),"32,100",Fisher-PriceMega Brands,Mattel FilmsMattel TelevisionMattel Digital Games,www.mattel.com
Mattersight Corporation,Public,Nasdaq,MATR,,Software/Hardware,Enterprise analytics,2006,,"Chicago, Illinois, United States",,Worldwide,,,,,,,,"Kelly Conway, President and CEO",,,,Mattersight.com
Mazor Robotics,,,,,Healthcare,Medical technology,2001,"Moshe Shoham, Eli Zehavi","Caesarea, Israel",,,,,,,,,,"Ori Hadomi, CEO",,,,
McAfee,Public,Nasdaq,MCFE,,Software/Hardware,Computer software,1987,John McAfee,"6220 America Center Drive, San Jose, CA 95002, USA",,Worldwide,Security software,Computer security,US$ 2.906 billion †,US$ 153 million  ,US$ -289 million ,US$ 5.428 billion  ,,Peter Leav(President and CEO),"6,900",,,www.mcafee.com
MDC Partners,Public,Nasdaq,MDCA,,Advertising,"advertising, public relations, marketing","December 19, 1986",Miles Nadal,"New York City, United States",,Worldwide,,,US$1.326 billion ,,,,,"Mark Penn, CEOFrank Lanuto, CFO","5,690",,,www.mdc-partners.com
Medpace,Public,Nasdaq,MEDPS&,,Service,Contract Research Organization,1992,,"Cincinnati, Ohio, U.S.",, Over 45 countries (2019),Support services for pharmaceutical and medical device,,US$322 million ,,,,,"Dr. August J. Troendle, President and CEO","2,800",,,medpace.com
Melco Resorts & Entertainment,Public,Nasdaq,MLCO,,Hospitality,"Hospitality, Tourism",,Lawrence Ho,Hong Kong,,"5 (Hong Kong, Macau, Japan, Cyprus, Philippines)",,,$5.7 billion,$747 million USD,$394 millionUSD ,,,Lawrence Ho Yau Lung (Chairman & CEO),"21,000",,,www.melco-resorts.com
MercadoLibre,Public,Nasdaq,MELI,,Retail,E-commerce,"August 2, 1999",Marcos Galperin,"Buenos Aires, Argentina",Countries: Argentina Bolivia Brazil Chile Colombia Costa Rica Dominican Republic Ecuador Spain El Salvador Guatemala Honduras Mexico Nicaragua Panama Paraguay Peru Uruguay Venezuela,Latin America,,Online marketplace and E-commerce payment system, US$844.4 million ,, US$136.4 million,,,"ListMarcos Galperin (chairman, president, and chief executive officer)Pedro Arnt (executive vice president and chief financial officer)Stelleo Tolda (vice president and chief operating officer)Osvaldo Gim√©nez (vice president, payments)Daniel Rabinovich (senior vice president and chief technology officer)Marcelo Melamud (vice president and chief accounting officer)","15,500",,,mercadolibre.com.ar
Mercury Systems,Public,Nasdaq,MRCYS&,,Aerospace,Aerospace and defense,1981,,"Andover, Massachusetts,United States",,,,,$924 million,,,,,Mark Aslett(President/CEO),"2,400",,,www.mrcy.com
Merrimack Pharmaceuticals,Public,Nasdaq,MACK,,Biotechnology,Pharmaceuticals,"2000 in Cambridge, Massachusetts",,"Cambridge, Massachusetts, United States",,,,,,,,,,,426,,,www.merrimack.com
Mesa Air Group,Public,Nasdaq,MESA,,Aviation,Aviation,1980,,"Phoenix, Arizona, United States",,,,,$1.4 billion,,,,,"Jonathan G. Ornstein, Chairman & CEOMichael J. Lotz, President & CFOPaul F. Foley, Executive Vice President & COOBrian Gillman, Executive Vice President, General Counsel and Secretary","2,500",,,www.mesa-air.com
MetaBank,Public,Nasdaq,CASHS&,,Finance/Insurance,Financial services,1954,Stanley H. Haahr,"Sioux Falls, South Dakota, U.S.",,Nationwide,Consumer bankingCommercial bankingCredit cardsFinance & InsuranceMortgage loansPrepaid cardsATM sponsorshipACH origination,, US$254.81 million, US$55.15 million, US$44.92 million, US$5.23 billion, US$434.50 million,Brad Hanson(President & CEO)Glen W. Herrick(Executive VP & CFO),827,,,MetaBank.com
Methanex,Public,TSX,MEOH,,Energy,Methanol,,,"Vancouver, British Columbia, Canada",,,Methanol,,,,,,,"John Floren, CEO  Ian Cameron, CFO",,Waterfront Shipping Ltd.,,www.methanex.com
Metro City Bank,Private,Nasdaq,MCBS,,Banking,Banking,2014,,"Doraville, Georgia, United States",,,,,$92.9 million ,,,,,"Nack Young Paek, Chairman and Chief Executive Officer",,,,www.metrocitybank.com
Metromile,Public,Nasdaq,MILE,,Software/Hardware,Technology,2011,David FriedbergSteve Pretre,San Francisco,,,"Pay-per-mile insurance, driving app",,,"US$578,277 ",US$15.636 million, US$230.543 Million ,US$37.219 Million ,Dan Preston CEO,230,,,www.metromile.com
Microchip Technology,Public,Nasdaq,MCHP,,Software/Hardware,Semiconductors,1989,,"2355 W Chandler Blvd  Chandler, AZ 85224, USA",,,MicrocontrollersSerial EEPROMsSerial SRAMAnalog ICs,, US$5.35 billion , US$707.4 million , US$355.9 million,,,"Steve Sanghi, Chairman Ganesh Moorthy, President & CEOJ. Eric Bjornholt, CFO","18,286",,,microchip.com
Micron Technology,Public,Nasdaq,MU,,Software/Hardware,Semiconductors,"October 5, 1978",,"Boise, Idaho, U.S.",,Worldwide,DRAMFlash memorySSDs,,US$ 21.44 billion , US$3.07 billion , US$2.69 billion , US$53.68 billion , US$39 billion ,Robert E. Switz (Chairman)Sanjay Mehrotra (President & CEO),"40,000",,,www.micron.com www.crucial.com
Microsoft,Public,Nasdaq,MSFT,US5949181045,Software/Hardware,Software developmentComputer hardwareConsumer electronicsSocial networking serviceCloud computingVideo gamesInternetCorporate venture capital,"April 4, 1975",Bill GatesPaul Allen,"One Microsoft WayRedmond, Washington, U.S.",,Worldwide,List of softwareWindowsOfficeServersSkypeVisual StudioDynamicsXboxSurfaceMobile,AzureBingLinkedInYammerMSDNMicrosoft 365OneDriveOutlook.comGitHubTechNetPayMicrosoft StoreWindows UpdateXbox Game PassXbox network, US$161 billion , US$70 billion , US$60.6 billion , US$301.3 billion , US$118.3 billion ,Satya Nadella (Chairman and CEO)Brad Smith (President)Bill Gates (Technical Adviser),"1,82,268",LinkedInSkype TechnologiesGitHub,Xbox Game Studios,www.microsoft.com
MicroStrategy,Public,Nasdaq,MSTR,,Software/Hardware,Business intelligence and mobile software,1989,Michael J. SaylorSanju BansalThomas Spahr,"Tysons Corner, Virginia",,,,, $480.735 million ,, -$7.524 million, $1.466 billion , $553.045 million ,Michael J. Saylor (Chairman & CEO)Phong Le (President & CFO),"1,997",,,www.microstrategy.com
Microvast,Public,Nasdaq,MVST,,Automotive,"Automotive Li-ion Batteries, Energy storage systems",2006,"Wu Yang, Xiao Diaokun, Li Xiang","Houston, Texas, U.S.",,Worldwide,,,,,,,,"Wu Yang (CEO, President)Shane Smith (COO)Wenjuan Mattis (CTO)Leon Zheng (CFO)Sascha Kelterborn (CRO)","1,254",,,microvast.com
Middleby Corporation,Public,Nasdaq,MIDDS&,,Manufacturing,Commercial Cooking Equipment,1888,,"Elgin, Illinois, U.S.",,International,,,US$2.722 billion ,,US$317.15 million,,,"Timothy FitzGerald, CEOBryan Mittelman, CFODavid Brewer, COOMartin M. Lindsay, Treasurer","9,778",,,middleby.com
MidWestOne Financial Group,Public,Nasdaq,MOFG,,Banking,Banking,1934,,"Iowa City, Iowa, U.S.",,,,, $0.049 billion ,, $0.0436 billion , $4.653 billion , $0.508 billion ," Charles N. Funk, President & CEOJames Cantrell, CFO",587,,,www.midwestone.bank
Mimecast,Public,Nasdaq,MIMES&,GB00BYT5JK65,Software/Hardware,Information securityE-mail archiving File archivingCybersecurity,2003,Peter BauerNeil Murray,"London, England, UK",,,"Unified Email Management integrating Email Security; Enterprise Information Archiving, Mailbox Continuity and Services for Office 365, Cybersecurity Training, Web Security",,,,,,,Peter Bauer (CEO)Neil Murray (CTO)Rafe Brown (CFO)Nathaniel Borenstein (Chief Scientist)Dino DiMarino (CRO)Karen Anderson (CHRO),"1,765",,,mimecast.com
Mimecast,Public,Nasdaq,MIMES&,GB00BYT5JK65,Software/Hardware,Information securityE-mail archiving File archivingCybersecurity,2003,Peter BauerNeil Murray,"London, England, UK",,,"Unified Email Management integrating Email Security; Enterprise Information Archiving, Mailbox Continuity and Services for Office 365, Cybersecurity Training, Web Security",,,,,,,Peter Bauer (CEO)Neil Murray (CTO)Rafe Brown (CFO)Nathaniel Borenstein (Chief Scientist)Dino DiMarino (CRO)Karen Anderson (CHRO),"1,765",,,mimecast.com
MiMedx,,NASDAQ,MDXG,,Biotechnology,Biomedical,"Marietta, Georgia in 2008",†Parker H. Petit,,,,,,,,,,,Tim Wright (CEO),735,,,
"MIND Technology, Inc.",Public,Nasdaq,MIND,,Software/Hardware,Technology : Scientific & Technical Instruments,1987,,"Huntsville, Texas, United States",,,,,$ 96.86 Million,,,,,"Billy F. Mitcham Jr. (CEO)Guy M. Malden  ( co-Chief Executive Officer, Executive Vice President)Robert P. Capps  ( co-Chief Executive Officer, Principal Accounting Officer) (Dec 31, 2012)",184,,,www.mitchamindustries.com
